Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,
124,29.3252,-90.6064,-93.5789,-81.3166,87.0296,-80.1202,18.2531,0.729394,28.4707,-69.7867,-72.7104,-41.4106,5.59404,17.3559,35.4961,-80.7672,70.3665,-41.7585,44.8225,-90.3867,
125,19.4433,75.573,-64.7755,34.8308,83.0805,85.9493,-28.3547,15.6896,65.8254,-32.9203,-13.2481,39.3902,-88.1893,88.1283,-25.3334,-74.9443,65.1967,-81.7866,29.5389,-8.14539,
126,-47.2762,-21.897,29.7403,4.58694,-17.1911,-47.2457,-64.0004,-87.701,-55.3636,-95.8251,-4.7029,80.578,5.79547,-75.0603,25.2052,51.9761,33.8481,7.62658,-56.7003,69.0909,
127,68.8467,-37.0586,-32.1879,-26.1452,-78.1671,27.9275,8.68251,-93.939,-87.6034,-4.57472,-76.7388,89.4223,-62.1998,-12.2959,58.8122,96.1974,-4.68459,27.0363,62.6026,-1.35197,
128,-7.98669,-55.6749,95.6664,31.1014,-15.4393,-36.2163,75.3594,49.6689,-34.0556,-22.7393,35.49,16.3488,44.377,17.9479,-65.7399,14.3468,28.0496,19.0588,29.8868,26.8654,
129,49.6323,52.9099,-34.8979,62.1937,73.6747,7.55333,-24.6254,17.1728,-73.4916,75.4692,39.6344,23.1178,83.5444,-42.9548,83.282,30.4239,-79.8517,52.6719,-68.3035,89.4711,
130,-29.6793,87.5729,60.2222,-33.433,-75.634,15.8361,12.6255,-99.1516,6.08845,-81.6523,17.1117,-3.69579,-10.6967,93.9451,97.5158,1.7426,-52.1592,-58.562,-22.3548,-33.9946,
131,-97.1007,46.4095,-22.6661,-57.976,68.4744,-8.71304,76.7449,47.7523,8.84732,71.2271,-22.2816,-72.216,2.5483,-10.2573,8.77407,-64.3422,28.0801,-49.6506,-1.57781,-75.1213,
132,-4.69069,49.321,-19.7668,5.25833,96.6979,-93.0784,93.3897,43.6201,0.228894,-14.0965,-71.5934,-14.4139,70.3604,-24.2775,99.7619,-29.3802,-28.4585,65.8376,-78.1182,38.1695,
133,25.2968,98.7182,-76.043,-19.3762,83.0744,5.43535,-93.408,-44.7798,-45.2742,-31.6874,-56.0717,-60.6983,-53.0931,-80.9931,-7.38853,-85.4915,66.2526,89.1476,-90.7285,-37.5164,
134,-19.2236,-13.0345,90.1181,57.6952,52.8672,-40.5072,-92.8465,-3.8789,22.3731,2.58492,99.1516,-54.8509,-30.6253,-78.6798,-3.81787,-40.141,73.9616,20.7801,28.3364,-4.66628,
135,-23.2765,80.401,-64.1469,21.9581,30.4605,91.0154,-3.85449,26.2917,-25.248,-27.25,-85.6258,81.6279,-30.6375,-89.6298,-99.6948,22.7271,74.0654,-11.3498,63.7135,-15.6407,
136,-94.4762,23.1117,57.3168,27.8054,-84.4478,-12.1067,-76.5435,-62.7796,-94.5128,90.8872,67.3574,45.201,-3.97046,-22.2266,59.7156,47.441,7.87683,-5.72222,-28.7759,-60.3687,
137,-42.2346,-66.7348,-57.0116,-40.8002,70.1895,-94.7447,59.7278,-80.0714,88.2199,7.95007,-11.4841,30.3079,49.736,-95.7701,17.246,3.2197,92.645,-42.9975,-66.1977,51.5671,
138,19.3701,65.9108,-42.4482,83.7275,85.8211,-17.8259,93.0906,-34.2021,99.5239,70.397,56.5355,-37.0037,-53.2029,-58.0981,-15.775,-63.3595,13.9805,-91.9858,-87.5179,48.0636,
139,76.7754,-55.4369,-66.2099,-42.5825,-27.4819,5.31938,-23.8075,-75.3594,34.3242,58.0187,-57.3412,54.326,3.2136,68.6819,24.2225,-37.5286,-79.8028,-96.6857,-88.1161,-34.8979,
140,-13.5655,-18.8635,-58.7207,84.3013,95.1659,51.4573,-51.677,23.4901,82.2626,22.5135,-40.2936,-48.1124,-75.3349,-3.75683,2.38349,21.4454,99.353,-25.3883,3.31125,84.1182,
141,86.3094,47.0931,22.1717,90.5515,-71.4957,34.5866,-45.4085,-93.408,5.92974,90.2097,-55.7054,-74.6696,-12.2898,-91.9004,-89.5688,90.9177,42.9914,82.4091,72.1488,47.4776,
142,-23.4046,42.4116,33.4147,-81.1762,76.0735,15.775,-93.2371,-98.9258,58.9465,73.8151,-2.68868,-35.7036,-82.1955,-65.8986,-52.3667,76.0613,-54.7655,14.2308,-99.6948,-96.0631,
143,6.62557,16.2389,46.086,-30.253,36.2224,94.8668,20.4382,-61.8946,48.4054,52.2691,-23.9784,-3.61645,65.453,-64.275,-14.9022,41.8378,9.62249,92.5047,19.9316,71.7521,
144,-97.9858,97.3388,-55.4369,79.1742,10.4648,46.5926,19.5044,9.99482,72.6981,-38.9569,52.324,72.631,21.9092,98.9135,26.2246,-24.723,91.3083,18.3813,24.4179,-73.87,
145,94.8485,-99.5422,-87.4203,56.0106,34.08,-46.379,-49.9985,12.0945,7.28477,-93.524,9.09756,-31.9315,14.8595,-15.5797,-59.7583,-0.674456,-42.8205,-87.1639,93.8475,81.2616,
146,73.0399,89.2392,99.3164,35.0932,92.8404,58.2812,31.5897,-47.6058,-75.219,-57.7075,12.9124,84.0876,-32.2977,65.1173,92.1262,3.98877,-79.5892,50.5661,18.0517,-14.0599,
147,-12.5156,16.2755,-76.7144,-5.6856,-78.1976,29.8257,99.1089,-7.9989,77.5079,56.2731,-14.4261,-95.6664,58.1164,-75.8782,36.2041,9.83611,-32.8532,-38.1024,4.50759,87.0174,
148,39.9274,-8.28577,29.2398,51.3718,-62.9688,70.2567,65.1173,90.7956,-3.46385,36.6741,-4.39161,-87.1761,7.88903,5.43535,60.1856,81.933,60.5518,-9.00601,-1.71209,62.5538,
149,-33.4086,-14.1453,86.6634,-96.3195,-68.6392,-51.0971,45.2864,44.2305,-70.7511,68.6148,40.3485,57.2558,-8.10266,1.61443,-46.5133,49.3942,50.9506,-95.4527,-33.6467,27.2927,
150,20.4688,-28.3547,-38.1146,93.4141,89.1598,17.7526,18.54,26.5542,97.5463,-67.0461,4.93485,81.341,-49.2843,-52.6658,76.1589,-62.1632,53.7523,-9.02432,87.2738,-23.8685,
151,-0.289923,20.8594,-26.2551,-67.0522,-89.0805,83.0134,12.4607,75.396,85.8333,-79.3146,-55.2477,35.7341,9.20744,43.6384,-94.6043,-26.2612,65.8071,61.6382,-70.8487,-50.8286,
152,11.9236,19.7729,-14.4017,-58.037,-92.2605,13.1382,24.6864,70.2567,-35.9783,-68.4805,-65.4103,-3.58592,-73.5221,45.6343,-88.9767,41.1481,40.8124,-73.8334,49.6811,25.1564,
153,-92.1995,-15.5065,27.5674,-29.3863,-11.7405,-78.8751,-99.1394,-24.8634,-67.3818,-71.9962,-92.993,31.3578,-96.2279,-6.96738,58.9038,-22.837,-35.3801,4.09863,69.4266,-49.5529,
154,-24.3568,-97.3083,-90.3867,-98.1445,61.8213,-26.133,-50.7004,-48.6129,-79.6564,98.3398,-45.5061,-90.1181,62.5416,-87.5607,86.5291,63.683,99.7436,-47.4899,6.72933,-0.900298,
155,-53.3921,-79.3695,18.0273,3.70189,11.6977,-29.8135,26.4992,-27.9153,67.5588,67.6504,46.2508,21.3782,-19.7974,-95.9777,-6.70491,92.5962,-84.3501,70.3421,83.6604,26.7556,
156,87.4691,20.2124,-6.14948,69.9454,2.61544,-36.4177,67.1316,95.1292,22.013,-60.1917,-16.8737,54.1429,-52.4033,75.8538,-6.20441,-76.0613,81.341,-1.34587,51.0971,-18.5217,
157,71.9047,-51.6709,-31.0282,80.4071,-48.5214,-1.67547,9.32341,-29.8746,88.6471,20.0598,91.8332,-71.3431,77.5262,32.6823,60.6311,25.1442,12.2715,-44.6822,59.8621,28.7271,
158,92.8221,-77.6666,18.5583,-52.0432,-89.7641,63.2862,48.1857,-85.754,43.9741,78.0633,40.4218,63.1703,-88.3969,-90.7468,62.8468,-12.7171,30.7108,-0.55849,83.0256,-20.8167,
159,21.7628,-91.6807,-3.17087,-30.9122,7.27257,18.9612,62.1204,-29.899,-23.3497,-59.093,-27.5979,56.0533,77.16,46.4278,-75.0542,49.205,-43.9436,7.78527,17.0263,71.8253,
160,16.7943,-22.9225,25.3517,-27.5185,-71.8192,25.9682,-51.8052,51.0483,89.5383,-57.4999,-62.389,-23.6427,59.0686,9.89104,1.80365,81.6279,94.9767,11.3315,48.9792,0.0396729,
161,-84.7102,-61.3697,-83.5505,47.3983,33.61,-94.2381,48.0453,23.1605,-2.67648,-34.7392,-24.7658,-46.0067,-68.1753,67.5283,73.4062,40.2875,62.5172,62.9444,17.954,-17.5756,
162,-18.5949,-93.3592,13.0711,11.0263,-99.7131,95.1109,-50.8408,80.6085,97.0458,-79.4855,-87.4691,-0.949126,-4.51369,-68.3035,-22.9957,-34.8186,-80.5536,-22.5196,-83.5871,77.8314,
163,-38.9386,76.1162,13.7059,-75.9148,89.1537,-52.5742,-80.9137,30.9488,-58.5437,-34.2875,-99.5544,49.0402,46.5011,84.4905,-63.7013,-18.1249,32.7982,-42.729,-94.8363,-67.0217,
164,-0.283819,-47.4288,39.4757,-34.0922,42.4604,-90.2158,63.6158,-20.2429,39.1095,52.6414,-13.6143,86.4803,4.11695,-79.4183,72.2343,75.5119,51.9272,-46.9283,85.6258,36.3201,
165,-83.99,52.4644,81.8171,18.8208,62.9994,23.6305,-55.2355,-69.7745,-31.4127,-41.8073,-67.8518,83.3552,-10.5747,37.785,50.6088,-90.1791,-17.8503,-55.9496,6.76595,-58.7024,
166,74.9565,13.3396,87.9574,60.8081,-60.4236,-97.3327,24.192,-1.05289,67.4429,-59.1113,-73.7968,51.0117,-11.3804,-16.9347,-25.9255,-77.929,-66.802,-15.714,47.8805,17.2216,
167,-39.1461,-95.9349,93.7559,25.1808,56.5172,33.8054,-84.0144,-0.0946045,-54.7349,-0.302136,23.7037,-84.3379,36.8816,36.5215,76.6533,57.2375,41.1176,79.0338,34.6171,9.37834,
168,56.3036,-53.1297,32.4869,83.5993,81.9758,-54.3016,54.21,-26.7434,-20.0781,-12.3875,71.0746,-8.64589,-79.1376,-31.6813,-96.234,83.5993,-24.5033,83.52,73.0155,95.6786,
169,86.578,68.3218,-38.5052,86.0347,-72.1427,-36.0515,87.2799,31.8277,-2.3957,75.6401,72.9606,-62.3768,-16.2999,-83.7336,56.4379,-33.6894,74.0288,98.7365,75.5913,-19.2236,
170,17.6855,69.9088,-1.90741,-51.2864,-29.8074,-62.1021,79.1559,98.2482,-98.6084,-78.2098,44.5784,-68.1692,-52.385,82.9157,80.6879,-39.1766,-54.8143,-17.4047,73.809,-3.46996,
171,-56.7553,-79.2352,-60.387,41.6486,-37.1441,-41.6303,27.4636,-61.449,54.1978,-43.9192,70.0552,91.0825,8.27967,-70.0797,-91.6135,-34.7697,-83.874,-4.10474,83.5017,-72.9667,
172,-44.1389,41.0871,94.6104,-52.8855,-53.1114,84.7774,-80.7978,-98.822,99.292,-75.3044,56.151,-35.0444,40.0189,-87.1883,-17.6061,-59.6057,96.0265,-98.9319,74.9016,-70.5435,
173,12.1433,42.1674,-9.54924,96.1608,45.7259,-2.15155,8.4872,55.8763,65.508,-64.8671,-40.2081,56.7675,-9.38444,-1.83416,13.4983,92.9746,40.2081,31.0831,38.7555,58.6413,
174,74.8833,-89.4833,21.9459,97.9125,85.3694,-85.522,23.6,84.3013,-73.6686,62.6881,14.5238,36.2224,40.3607,-77.282,87.2921,-28.7454,-29.9905,-37.8521,34.4768,6.97958,
175,-49.9863,-82.4702,65.9902,-89.6298,-8.91446,98.8952,99.9695,-39.14,-26.4626,-19.6753,-1.04068,47.557,-30.3629,59.0991,85.2351,-82.2748,-48.3444,-67.5222,-18.9428,18.6377,
176,-39.7198,79.7418,-68.5171,26.7739,0.698876,-62.8223,93.9634,27.6101,-81.4692,95.9655,-37.0525,-78.6187,96.9848,64.2811,-28.3425,66.3015,19.248,50.3464,53.2823,-79.4366,
177,45.4268,85.0826,2.58492,95.4039,89.526,-35.5571,-21.8299,92.2483,-3.29905,-64.8976,-70.4703,5.57573,17.3437,72.4601,-42.9426,-39.2071,-98.1567,-48.1124,61.1316,-16.715,
178,73.3207,-31.9254,-94.8424,98.4314,76.1773,6.15559,20.5847,-58.8916,3.8667,-15.598,-77.2515,48.3871,-94.7813,76.6533,-89.5016,44.0657,-70.9281,-43.2783,-17.3376,51.9883,
179,-53.7828,-2.65816,-6.16169,-24.5888,38.4136,-39.1888,27.2439,53.9781,13.9073,61.5894,-41.789,96.6002,-73.7785,-21.8116,90.2524,31.8033,-71.1356,89.1293,26.8838,88.1039,
180,-61.858,48.8998,6.43635,47.9049,40.5255,6.58284,48.4603,73.6137,-80.4437,78.9178,24.369,-66.3198,14.7008,30.3446,23.6122,42.5825,65.4103,-74.6757,35.6426,-85.2474,
181,-10.6418,53.795,29.1299,-64.8122,-98.413,-7.3275,32.5724,30.1859,4.15968,7.93176,-45.3169,42.3749,-21.2806,6.21662,-72.8996,-71.5934,6.91245,-5.8443,-18.5278,-55.0768,
182,78.0694,-72.4845,-9.54314,13.6387,14.5299,6.29597,-77.2027,-56.3829,19.0222,-5.00809,-61.7969,61.0584,46.617,-26.3161,41.7585,96.0265,-47.6119,-77.5445,-61.4734,78.6187,
183,14.8656,39.8236,85.7479,93.6094,-7.73034,-76.513,66.9179,65.0807,48.4115,60.2161,81.7133,56.9933,-81.9514,9.75677,-85.1131,79.107,35.96,31.8888,51.2253,41.1908,
184,-94.2442,6.27155,-40.3912,-0.894195,-5.59404,-23.4901,62.7247,-18.302,-1.59001,39.1461,16.5441,-45.4451,-86.5352,-85.1131,66.7653,88.3663,35.2824,24.4423,-40.904,53.8377,
185,99.0478,-14.5909,66.155,72.515,26.7739,67.2231,73.1498,89.8862,-46.2386,-82.873,73.3512,-18.1921,92.9014,-26.9631,-70.3604,36.1736,-42.9304,-27.1767,4.92264,40.8673,
186,-88.1527,-53.2151,40.1227,-95.6725,-21.1463,-44.9141,-98.645,-12.0396,12.1555,-76.8731,-52.9527,-87.994,-26.9265,-62.743,-11.478,12.7964,-77.0623,-16.2145,-62.8895,-73.3573,
187,23.838,63.4632,-96.6246,87.402,-21.5369,-16.3366,-20.7801,-64.4948,-57.9699,32.432,9.51262,70.1956,30.546,-49.2172,-39.7381,82.4702,60.033,-20.2673,97.4914,63.3473,
188,-48.6129,-80.4559,60.3503,98.6389,-98.1872,4.88602,-64.5924,-61.4612,-98.0041,81.0968,23.7037,95.2879,3.88501,-74.8894,27.1706,-4.17798,-40.5744,13.9073,-52.2263,-32.8898,
189,-66.0329,7.48619,-57.5488,95.6236,-4.00708,-30.1492,-34.2631,-20.5481,79.0765,29.9417,-80.3522,-16.9225,27.3598,56.8896,98.3398,25.6325,-15.0243,19.834,95.9288,-73.748,
190,-76.7754,51.5427,-42.6923,-23.4535,-71.5262,40.5194,73.3024,45.6526,-40.3974,-74.6086,86.4681,-55.5528,84.2036,98.7671,-85.6197,-84.4783,69.8416,53.1907,-25.3639,-98.5534,
191,-53.7034,66.3625,68.6148,-73.748,-37.1319,77.4529,-30.6436,-36.6497,34.5988,33.6283,-88.6227,-55.8214,-41.2641,-42.8327,-58.0432,-59.0014,32.5663,-29.667,8.35291,-73.925,
192,-1.02237,69.1031,-50.9934,-24.6559,33.5978,83.0744,81.9025,-87.9513,-95.6847,-36.6863,92.4986,-80.8649,19.3457,43.0464,39.0057,-20.188,86.8831,-44.5418,79.6258,-22.7332,
193,91.9614,-45.2803,-80.9076,6.36921,-8.63369,27.4026,71.3248,-91.5159,-22.2327,-3.44554,-14.2491,94.7813,26.5664,62.5782,87.7682,15.6224,13.1504,-74.1508,-97.2411,21.4209,
194,-90.1425,10.007,-87.5546,59.5569,33.1401,79.4732,34.2753,47.734,-90.5332,-26.426,83.581,97.4731,12.6988,91.1496,-15.8177,57.5915,-83.3674,-68.981,-40.0922,76.9219,
195,-84.0754,26.7678,-90.6796,-82.2382,-12.1189,62.1082,-85.4732,-24.1371,-41.5387,81.341,95.1292,-92.9014,6.19831,87.9757,79.632,-34.9956,9.59808,-14.4749,-3.44554,-96.9115,
196,-32.4686,-28.4951,24.4789,20.2185,-92.407,15.537,-21.9398,59.27,78.3196,-65.5385,-67.9678,-94.5677,-55.8519,-82.2626,0.845361,-1.81585,69.5547,54.8265,-1.05289,76.9646,
197,-44.0535,23.6183,-48.1796,-9.51872,24.2653,-2.38349,-60.271,-10.416,20.9204,67.2353,-53.209,87.6339,-47.4532,64.1102,29.6487,-33.7504,-74.2119,-80.1141,-55.0645,7.09555,
198,3.10984,94.1282,80.9625,20.1392,63.8844,-14.8717,-97.4975,5.356,78.7164,28.3303,5.64897,-67.1865,27.6894,-71.1844,20.4688,-42.3994,-9.12198,91.6684,77.0501,-65.2211,
199,-1.8891,44.5601,71.2332,89.8129,24.8573,-61.1744,57.0727,-7.1688,-27.7688,59.2944,-19.071,-48.0697,-100,90.7285,-47.441,-98.1201,-32.0597,17.8808,-18.2592,77.4468,
200,-17.5451,79.9249,-66.3259,-35.0566,56.2853,76.5679,5.99688,61.1133,19.7791,-53.8194,-84.167,-59.3982,93.646,34.4646,-66.1,-0.888091,-1.41911,-12.8758,30.8939,-67.6504,
201,84.9422,96.2035,47.6608,-93.0967,57.5365,-75.8354,-2.57271,58.9648,6.44245,78.5394,79.9493,6.36921,69.5486,-77.7947,83.1111,-37.9803,84.7407,-81.9453,94.8058,38.8043,
202,20.2124,33.3048,98.5534,19.4494,-48.558,-73.0522,-19.6875,72.8507,17.8198,5.44145,-72.1183,-95.7396,5.66729,-19.8889,-22.4158,75.0237,1.30314,62.2852,65.746,46.44,
203,-41.5693,-94.9156,-22.9835,44.9873,-76.1162,-2.24311,44.792,62.2913,91.7356,43.7056,-77.044,53.3799,-97.0153,-91.0642,-97.4487,-65.7399,98.6694,-40.5194,-25.425,-79.0399,
204,-4.84939,17.7099,-80.7855,43.6506,-97.4364,-99.9084,57.9516,-59.5874,-20.6458,-0.778222,-57.9638,-7.60216,-97.5219,-82.9524,98.4436,51.5549,48.8937,-44.4746,-45.9029,69.8416,
205,-19.6692,64.1896,46.8307,27.5857,3.0427,92.0591,-39.2621,47.4838,-12.0701,40.0067,-91.113,-27.9763,-95.8739,-97.821,-89.581,45.3658,20.7862,-27.2805,84.4844,11.6428,
206,90.2646,-33.0546,40.3241,18.6865,-81.4936,-10.5075,39.5245,-40.3119,49.3027,-59.1479,-74.9504,75.8049,-24.778,38.6151,39.5001,34.6049,88.8424,0.344861,25.4372,3.65916,
207,9.67132,46.4522,-86.0714,68.5171,42.0087,66.5822,99.8169,49.675,-0.485241,33.079,59.508,38.3282,4.45875,93.2066,-34.7331,31.7423,79.107,94.2259,89.3735,-72.8141,
208,66.9851,1.52287,81.5424,-5.91754,0.0213623,59.0503,-45.3047,19.3213,59.0991,79.0521,8.005,23.6305,77.4285,19.718,-75.3471,15.2196,-11.7893,-60.7288,87.8658,-97.7233,
209,58.8855,-15.2501,61.3758,58.8916,25.9255,-85.3633,5.70391,-66.6982,-89.8679,-47.5753,-95.1048,65.8132,11.9175,23.5023,-90.643,31.8033,-68.3462,-46.7391,69.4815,-93.3287,
210,60.332,-97.8759,30.015,39.8785,92.0469,36.3018,-63.1153,-2.49947,86.285,60.8326,93.2066,-5.09964,-58.1164,-0.442517,47.795,-94.0916,57.6708,-23.6976,49.4919,-95.6542,
211,18.5705,11.5818,31.1869,-29.014,31.2357,-56.1815,-2.7253,61.7725,14.1209,-37.2234,72.8385,-8.96939,70.7389,-3.03049,11.3926,-62.7125,4.60525,74.9199,66.448,-20.951,
212,74.0165,10.062,-88.2382,54.5335,-6.12506,90.3623,34.6477,-27.5246,29.6487,37.0586,55.6749,-98.4619,70.7877,64.6107,-85.7112,-93.8108,-93.2554,87.4752,49.9619,-49.1256,
213,-36.3872,-0.778222,-98.3581,-24.1188,86.6817,83.5566,25.7973,7.44346,-17.6794,-11.0019,-24.1676,25.9316,-17.832,72.1976,-66.5944,37.9864,-82.1284,-10.2268,-19.8462,-49.7482,
214,87.8353,82.5617,85.5098,-12.0273,1.94403,-14.8778,-34.0983,68.395,37.4004,-36.5764,7.68762,-72.9057,-0.72329,-52.4583,65.9291,-55.8458,-7.34581,-32.4381,95.7152,-0.350964,
215,-46.4156,-33.6406,28.3792,47.0382,-32.4137,-1.79754,34.9284,86.7061,-99.6399,-14.3651,40.1288,-25.6508,-63.3167,-61.5711,78.7591,-30.2713,-38.6883,-33.6528,85.577,32.6212,
216,88.6654,-45.1765,-48.5397,12.6804,-41.081,21.952,-30.1309,32.1085,24.4118,73.8578,-56.1327,-40.8307,-69.1641,81.2555,-30.8512,14.5787,23.9051,-85.1558,41.4289,-80.9809,
217,43.7544,45.8846,-78.0755,-99.1943,-47.5448,12.8025,8.82291,83.4773,20.7617,70.6839,-25.7363,-11.4597,-88.4335,-92.5901,-68.8467,-46.0982,-12.2349,-89.1293,92.3826,17.4413,
218,-74.4743,-24.8878,-93.0723,-59.5019,72.2892,0.711083,51.146,-99.0905,-95.7152,17.5085,-76.2444,-41.8256,32.8532,-38.1756,-13.8951,98.6328,-30.6925,70.0003,-0.491351,8.59706,
219,54.9791,-35.0871,16.129,31.3334,-97.6318,15.2379,75.0725,-68.8589,1.86468,99.7925,56.621,-51.8113,-80.5292,9.59197,-23.2032,-76.5069,-78.7835,35.6487,-48.3871,-1.93793,
220,-5.42314,9.01212,-64.3422,62.6331,70.6229,-42.0942,-34.666,-98.6633,66.924,-19.3335,-96.2584,-35.1054,85.4366,-95.7457,-97.1557,-69.7501,-71.8925,55.6261,14.5909,-25.6325,
221,-64.8183,98.1933,16.4586,-43.1074,8.6581,-91.8149,64.1835,-17.4047,91.6684,-33.1217,-43.9924,4.06201,78.3502,-6.58895,36.082,-9.56145,-37.1563,6.91855,-51.4634,10.8615,
222,-94.6654,80.224,13.6265,-88.9035,-88.6105,11.4597,-8.53603,-60.2466,-22.0923,-14.3223,-73.9555,-29.8196,22.4586,45.4573,-15.0426,94.9522,62.6209,-66.6433,35.7646,-93.3653,
223,-91.6746,-56.4379,-69.7195,33.0912,16.9958,72.3746,40.0128,36.0637,77.105,-94.9278,12.3142,66.5578,-64.0858,-86.0836,-55.5467,46.8246,-59.2944,71.1783,33.7077,-0.857568,
224,-9.04263,-49.0768,75.28,-73.5527,65.6972,-21.8848,-2.3896,31.9437,87.6766,-4.78836,-66.216,-43.553,-84.9117,-14.5726,-7.9989,-66.8264,-93.8475,31.962,-19.541,95.3246,
225,72.4601,-40.379,-2.90841,-71.1844,-97.7355,93.4202,-68.2241,-74.6452,85.6807,-47.2091,20.2673,-39.8358,48.088,-11.8686,-62.0655,-66.3686,-85.1314,-50.1694,60.1917,46.1531,
226,-72.7775,72.3258,-63.8661,-6.94296,-93.0601,56.09,58.2507,95.642,39.9152,-22.8126,-66.9668,-2.52998,49.968,84.46,-65.685,-2.62154,-39.0667,-73.2841,-64.0797,94.1954,
227,-97.1068,-75.6157,-19.1565,-69.6646,62.5599,-76.1467,-57.7868,52.2691,-79.7357,-30.8756,3.39671,34.257,-95.4588,-86.285,42.8938,-20.1758,-56.1083,-88.8607,39.2315,92.4863,
228,-57.445,78.0511,35.2947,-3.63476,48.3932,-91.3999,49.2843,22.8126,-13.3579,28.312,90.4172,95.6481,71.7704,76.6289,-76.8609,-95.6908,-81.7866,-6.99179,11.9175,38.2672,
229,63.7074,-53.5936,83.8496,61.1011,-52.0127,-75.8904,-96.173,-38.7249,-44.6699,-45.3352,62.7003,42.6191,-57.622,-80.2972,67.0827,36.7656,65.7643,0.869775,-76.3726,-24.6437,
230,59.4409,76.6533,69.573,89.2636,-67.5283,66.6799,-44.9629,-18.5827,-24.6071,-62.7674,-37.0769,-30.8573,18.2714,43.3943,-26.6945,57.506,-8.8229,40.2326,-33.7321,-48.4115,
231,55.9313,9.93377,-83.0195,5.14847,65.4164,76.6472,30.5826,-43.1196,-51.9272,-15.4149,-40.2631,-95.2696,13.6692,68.5354,64.214,33.4697,71.9657,-36.7473,3.76904,27.8542,
232,31.6996,-51.9089,64.8366,-46.0738,98.706,18.8208,-4.72732,-4.62966,-2.24311,-82.5983,-69.3899,0.0152588,-0.436413,39.5428,-8.43837,13.5716,74.8283,80.9381,-1.18107,-18.2653,
233,-40.2509,89.4223,-60.3809,25.5959,-71.4042,-79.0948,-9.18912,67.6015,46.6109,14.1575,72.6066,-34.6904,-98.3398,-17.9479,22.898,-18.3813,-18.3386,-62.5111,-20.426,79.4061,
234,56.2853,-11.4231,94.525,-65.3615,71.4286,-5.6978,44.6638,-59.154,-96.8505,-21.1768,-32.9447,-55.9923,-12.2105,-96.5453,-51.9761,-44.5418,61.6749,29.545,-26.1025,86.5169,
235,84.3013,50.1083,-10.7944,-98.7487,-19.9377,38.5784,-66.1306,-7.80969,33.8908,-1.52287,-30.3934,0.0640869,-63.2191,45.8357,37.4249,90.9055,79.7723,-3.34178,-21.6651,-69.2862,
236,68.4255,-96.765,35.4717,22.3792,38.8043,2.15156,97.4242,-97.8271,-88.4335,63.3229,62.7369,-92.3032,13.6753,-61.3086,-91.6318,-59.093,-27.9275,-19.779,-88.7265,3.75073,
237,-51.4756,-13.5655,-19.779,-10.6296,20.6275,53.0015,62.7613,48.4542,55.8824,3.12204,-94.4884,-99.3469,73.4245,80.9442,-22.3792,40.1288,-7.60826,30.607,48.2406,61.0157,
238,-0.247198,41.8134,-28.2022,17.5207,-35.0078,83.4407,50.2792,76.1406,29.8501,-36.5581,37.1563,44.4319,-63.1031,-50.5844,-74.9748,39.9762,-71.276,8.93277,6.45467,80.3583,
239,-95.3978,-37.3882,-9.84222,85.052,70.4886,-79.9493,-17.2643,7.90734,-29.6731,95.1537,82.9157,-65.4469,-23.6,85.1619,-87.054,-87.7499,-39.0362,-12.6438,-4.89212,88.2687,
240,-84.8567,33.8298,43.9985,-91.5159,13.9378,95.8373,-36.5154,25.0221,12.4119,-93.5545,61.7481,-68.2363,-6.23493,73.87,71.9962,86.9137,-58.7939,-93.7071,27.427,48.674,
241,-93.8231,-63.9515,-8.84121,14.2857,76.7205,3.28074,-2.7131,65.5873,43.5346,20.011,-37.6141,-58.4155,-42.9792,-38.377,86.8587,67.6748,67.571,-96.4721,71.0807,-30.7596,
242,-28.7576,-68.3157,17.2948,-94.0245,90.1059,1.49236,-63.5914,-19.4128,-65.8071,36.8633,92.6817,-4.83108,52.3423,-88.3847,84.9116,73.5588,93.3714,-0.411999,11.9419,39.5733,
243,43.0647,-11.8442,55.1073,91.4426,-98.6999,70.5069,-8.52382,88.2931,41.6791,13.9927,74.2302,23.0384,17.6977,-2.8779,-93.115,-75.811,82.8791,98.4314,-7.03452,-79.7357,
244,-18.0395,-62.2303,-64.1041,-9.94598,44.0107,96.6308,-73.1498,18.6865,86.23,-1.34587,-94.7996,-39.7931,48.0758,-91.7173,60.4053,-70.9342,-31.0038,-10.0131,81.9086,-60.2832,
245,-63.9149,84.4966,-17.8014,-80.6452,-4.12915,-53.5875,-34.5744,-67.8823,35.4534,-0.82705,-93.231,26.5297,36.4727,49.4003,37.8826,59.2395,80.578,3.75073,90.3867,-13.1199,
246,-40.4157,99.707,63.097,-14.4139,-26.2978,29.667,-23.5878,-17.4291,87.4874,-73.8151,54.4298,73.6564,-43.9924,-30.6497,2.23091,88.9157,-65.6423,39.2315,24.894,-41.5693,
247,-63.5792,61.6504,3.46996,-64.33,-80.0653,-69.1763,80.7978,45.1949,87.2677,83.1355,-53.1846,55.2293,73.1742,-21.6651,86.3033,75.5486,12.4302,-23.7953,84.0205,-84.0938,
248,48.9792,-68.1143,5.72833,5.39262,2.10882,-71.5873,-96.8017,-43.3332,-44.6455,-72.8874,-13.8524,57.9699,4.42213,-51.3169,0.265515,-20.0171,-54.9913,-86.1751,-8.74355,93.4324,
